Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_1206_3216Metric",122.900000,-59.300000,0.000000,top
"C2","0.1uF","C_1206_3216Metric",122.900000,-63.400000,0.000000,top
"C3","0.33uF","C_1206_3216Metric",171.100000,-110.600000,180.000000,top
"C4","0.33uF","C_1206_3216Metric",109.800000,-56.900000,180.000000,top
"C5","0.1uF","C_1206_3216Metric",109.800000,-63.200000,180.000000,top
"C8","0.01uF","C_1206_3216Metric",120.050000,-111.450000,0.000000,top
"C9","0.1uF","C_1206_3216Metric",120.050000,-107.750000,0.000000,top
"C10","0.33uF","C_1206_3216Metric",162.500000,-50.200000,180.000000,top
"C11","0.1uF","C_1206_3216Metric",174.575000,-50.300000,180.000000,top
"C12","0.1uF","C_1206_3216Metric",179.100000,-105.625000,90.000000,top
"C13","0.01uF","C_1206_3216Metric",136.700000,-62.900000,-90.000000,top
"D1","GUO40-12NO1","Diode_Bridge_IXYS_GUFP",174.300000,-55.000000,0.000000,top
"D2","DIODE","TO-220-2_Vertical",152.255000,-104.060000,-90.000000,top
"D3","1N4148","D_SMB",128.150000,-99.000000,0.000000,top
"F1","Fuse","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal",163.600000,-91.000000,0.000000,top
"J1","Screw_Terminal_01x05","TerminalBlock_Phoenix_MKDS-3-5-5.08_1x05_P5.08mm_Horizontal",194.300000,-72.500000,90.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal",194.300000,-84.000000,90.000000,top
"J3","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",180.500000,-52.800000,180.000000,top
"J5","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal",194.300000,-95.545000,90.000000,top
"L1","27n","L_1206_3216Metric",117.300000,-61.900000,90.000000,top
"Q1","IRG4PF50W","TO-247-3_Vertical",142.020000,-107.050000,90.000000,top
"R1","220","R_0603_1608Metric",108.975000,-96.200000,0.000000,top
"R2","220R","R_0805_2012Metric",126.000000,-104.900000,-90.000000,top
"R3","220R","R_0805_2012Metric",130.300000,-104.887500,-90.000000,top
"R4","22R","R_0805_2012Metric",127.650000,-93.550000,-90.000000,top
"R5","22kR","R_0805_2012Metric",136.200000,-54.712500,90.000000,top
"R6","39kR","R_0805_2012Metric",133.500000,-54.687500,-90.000000,top
"R7","440","R_0805_2012Metric",131.500000,-63.500000,90.000000,top
"U1","Pico","RPi_Pico_SMD_TH",132.800000,-78.400000,90.000000,top
"U2","L78L33_SOT89","SOT-89-3",109.800000,-51.337500,90.000000,top
"U3","HCPL-3120","DIP-8_W7.62mm",113.700000,-92.950000,0.000000,top
"U4","L78L05_SOT89","SOT-89-3",177.600000,-112.100000,-90.000000,top
"U5","L78L12_SOT89","SOT-89-3",165.500000,-54.500000,-90.000000,top
"U6","LM358","DIP-8_W7.62mm",140.200000,-53.700000,0.000000,top
